date,high temp,low temp,solarRad
2018-01-01 23:55:00,67.3,49.8,26.6
2018-01-02 23:59:00,69.8,54.1,9.8
2018-01-03 23:59:00,71.2,56.8,5.8
2018-01-04 23:56:00,72.0,56.7,28.6
2018-01-05 23:58:00,70.9,57.7,34.3
2018-01-06 23:59:00,66.2,59.4,9.5
2018-01-07 19:31:00,70.0,58.3,10.9
2018-01-08 23:59:00,67.6,61.7,5.9
2018-01-09 20:21:00,62.8,54.5,20.4
2018-01-10 23:54:00,63.7,50.2,30.3
2018-01-11 23:58:00,66.9,52.0,4.9
2018-01-12 23:57:00,67.1,53.1,22.4
2018-01-13 23:55:00,80.2,60.3,37.7
2018-01-14 23:54:00,81.0,61.9,31.3
2018-01-15 23:59:00,67.1,56.3,33.2
2018-01-16 23:59:00,68.5,54.0,18.0
2018-01-17 23:59:00,72.9,54.1,24.5
2018-01-18 23:59:00,72.9,57.9,36.3
2018-01-19 23:49:00,63.7,55.6,10.4
2018-01-20 23:11:00,62.8,53.2,41.6
2018-01-21 23:47:00,63.7,48.9,40.1
2018-01-22 02:03:00,55.6,55.4,0.0
2018-01-23 23:43:00,72.9,56.3,43.3
2018-01-24 23:53:00,73.4,54.1,27.1
2018-01-25 23:56:00,62.4,50.9,18.2
2018-01-26 23:54:00,65.1,51.8,9.9
2018-01-27 23:44:00,72.0,52.0,23.4
2018-01-28 23:56:00,82.0,60.8,36.1
2018-01-29 23:55:00,85.1,67.8,34.3
2018-01-30 23:18:00,80.6,62.6,13.0
2018-01-31 23:25:00,77.2,60.4,45.5
2018-02-01 23:25:00,76.1,59.4,38.9
2018-02-02 23:41:00,78.6,56.5,32.7
2018-02-03 23:37:00,75.0,56.7,25.1
2018-02-04 23:55:00,74.1,55.2,29.2
2018-02-05 22:43:00,70.5,56.7,25.2
2018-02-06 23:19:00,68.5,56.3,19.5
2018-02-07 23:30:00,77.2,52.3,30.5
2018-02-08 23:48:00,77.2,57.6,33.2
2018-02-09 23:18:00,71.2,55.0,46.5
2018-02-10 22:55:00,65.3,57.4,11.0
2018-02-11 23:48:00,67.5,52.3,52.5
2018-02-12 23:58:00,63.9,53.4,13.0
2018-02-13 23:48:00,65.1,51.4,20.4
2018-02-14 23:49:00,69.4,56.1,16.8
2018-02-15 23:55:00,69.8,54.1,35.8
2018-02-16 23:13:00,72.9,56.8,104.8
2018-02-17 23:41:00,72.3,54.5,52.6
2018-02-18 22:29:00,66.2,50.9,33.6
2018-02-19 23:37:00,59.9,48.9,32.7
2018-02-20 23:47:00,60.4,45.9,115.8
2018-02-21 23:56:00,61.2,47.3,40.2
2018-02-22 23:51:00,61.2,45.3,5.7
2018-02-23 23:50:00,57.9,46.9,54.7
2018-02-24 23:54:00,62.4,46.8,23.0
2018-02-25 23:55:00,67.6,46.9,6.1
2018-02-26 23:52:00,65.5,50.0,45.1
2018-02-27 23:31:00,59.5,43.5,13.2
2018-02-28 23:31:00,62.4,43.0,9.9
2018-03-01 23:19:00,63.1,48.0,143.6
2018-03-02 23:16:00,57.4,52.2,8.3
2018-03-03 23:51:00,61.2,49.6,22.1
2018-03-04 22:01:00,61.7,44.6,25.5
2018-03-05 23:34:00,70.7,48.9,26.4
2018-03-06 23:37:00,76.8,53.2,42.8
2018-03-07 22:18:00,69.3,56.7,17.4
2018-03-08 23:50:00,69.8,52.0,10.7
2018-03-09 23:55:00,68.7,55.0,174.1
2018-03-10 23:43:00,61.9,58.1,11.7
2018-03-11 23:47:00,67.3,57.4,22.1
2018-03-12 23:26:00,68.0,59.0,77.2
2018-03-13 23:59:00,66.7,59.7,30.8
2018-03-14 23:54:00,66.2,54.3,20.2
2018-03-15 23:13:00,64.9,52.9,81.2
2018-03-16 23:56:00,62.4,52.7,34.4
2018-03-17 22:49:00,62.1,50.2,250.6
2018-03-18 23:45:00,63.3,47.3,236.6
2018-03-19 22:57:00,71.4,50.9,356.4
2018-03-20 23:03:00,70.9,56.1,317.3
2018-03-21 23:37:00,63.9,56.8,9.3
2018-03-22 23:57:00,63.1,57.2,7.7
2018-03-23 23:49:00,67.5,56.1,22.9
2018-03-24 23:54:00,65.5,54.7,91.2
2018-03-25 23:54:00,65.3,51.8,399.7
2018-03-26 23:54:00,70.9,52.7,422.2
2018-03-27 23:54:00,78.6,57.7,454.1
2018-03-28 23:54:00,72.5,54.3,425.5
2018-03-29 23:54:00,70.2,52.7,400.4
2018-03-30 23:48:00,71.2,54.5,422.4
2018-03-31 23:54:00,66.7,54.5,131.3
2018-04-01 23:56:00,66.4,55.9,53.0
2018-04-02 23:59:00,68.0,57.6,40.6
2018-04-03 22:08:00,68.4,55.0,82.6
2018-04-04 23:49:00,64.6,56.1,23.0
2018-04-05 23:26:00,66.2,57.0,21.7
2018-04-06 22:41:00,68.2,55.4,16.0
2018-04-07 23:12:00,70.5,59.7,30.0
2018-04-08 23:58:00,72.1,55.6,98.5
2018-04-09 21:44:00,82.9,55.2,9.5
2018-04-10 22:56:00,80.1,63.0,42.8
2018-04-11 23:59:00,75.4,59.9,7.6
2018-04-12 23:55:00,69.1,56.3,120.8
2018-04-13 23:59:00,76.6,58.1,122.7
2018-04-14 23:58:00,82.2,59.7,83.9
2018-04-15 23:59:00,73.8,56.7,91.8
2018-04-16 23:56:00,65.5,54.0,211.9
2018-04-17 23:57:00,68.4,51.6,175.2
2018-04-18 23:59:00,69.6,52.9,165.4
2018-04-19 23:56:00,64.0,50.0,28.2
2018-04-20 23:56:00,69.3,53.8,109.4
