date,high temp,low temp,solarRad
20190101,63.4,34.9,
20190102,69.4,35.6,
20190103,74.2,38.9,
20190104,73.1,41.6,
20190105,57.9,46.0,
20190106,64.3,44.6,
20190107,63.3,49.1,
20190108,75.0,48.2,
20190109,69.7,44.2,
20190110,68.6,46.3,
20190111,68.1,49.1,
20190112,64.0,46.7,
20190113,62.9,43.3,
20190114,56.4,50.2,
20190115,60.7,50.0,
20190116,59.3,53.2,
20190117,62.3,54.8,
20190118,72.5,53.2,
20190119,86.3,50.3,
20190120,77.5,53.0,
20190121,65.9,51.9,
20190122,71.1,43.2,
20190123,73.6,40.8,
20190124,83.1,42.8,
20190125,80.9,44.1,
20190126,82.4,46.3,
20190127,82.3,47.3,
20190128,80.4,45.3,
20190129,74.2,51.7,
20190130,72.6,51.7,
20190131,58.9,49.4,
20190201,65.5,46.4,
20190202,58.5,50.9,
20190203,61.1,50.2,
20190204,60.1,51.0,
20190205,59.6,44.3,
20190206,62.5,41.5,
20190207,69.0,41.3,
20190208,67.4,39.7,
20190209,64.9,44.9,
20190210,58.7,45.4,
20190211,69.4,38.4,
20190212,70.8,38.3,
20190213,58.8,49.9,
20190214,62.1,50.9,
20190215,62.2,47.6,
20190216,65.1,42.7,
20190217,57.7,41.0,
20190218,65.7,41.0,
20190219,65.1,37.6,
20190220,58.0,40.6,
20190221,60.2,39.7,
20190222,65.5,36.8,
20190223,67.3,42.3,
20190224,71.1,43.4,
20190225,73.2,43.6,
20190226,71.6,43.7,
20190227,68.2,47.6,
20190228,70.5,54.5,
20190301,69.0,53.9,
20190302,61.7,54.4,
20190303,66.8,55.3,
20190304,66.4,48.1,
20190305,68.0,47.1,
20190306,59.9,53.5,
20190307,66.1,49.7,
20190308,62.3,44.9,
20190310,65.7,45.9,
20190310,48.1,45.7,
20190310,48.1,45.7,
20190311,50.5,48.2,
20190311,67.8,46.7,
20190312,74.0,51.5,
20190313,73.9,47.6,
20190314,76.3,43.3,
20190315,82.8,43.7,
20190316,88.0,46.6,
20190317,92.0,52.7,
20190318,80.8,52.1,
20190319,71.2,51.5,
20190320,68.3,53.0,
20190321,66.0,48.4,
20190322,70.7,46.1,
20190323,70.4,51.7,
20190324,74.7,50.1,
20190325,77.4,49.3,
20190326,76.9,48.2,
20190327,72.8,53.3,
20190328,70.6,51.0,
20190329,74.2,48.4,
20190330,84.1,48.7,
20190331,89.4,51.3,
20190401,85.5,56.7,
20190402,72.4,55.7,
20190403,70.3,54.0,
20190404,71.0,53.6,
20190405,68.9,50.5,
20190406,72.2,53.5,
20190407,84.0,54.1,
20190408,87.6,56.5,
20190409,83.1,57.5,
20190410,79.3,59.3,
20190411,73.2,52.6,
20190412,76.4,54.9,
20190413,80.5,52.5,
20190414,75.0,52.7,
20190415,69.5,51.2,
20190416,67.6,54.3,
20190417,76.8,50.7,
20190418,81.6,52.8,
20190419,73.6,54.2,
20190420,68.6,53.7,
20190421,70.5,52.6,
20190422,73.3,51.8,
20190423,78.3,54.5,
20190424,81.7,56.3,
20190425,78.0,56.8,
20190426,73.2,56.3,
20190427,74.7,57.9,
20190428,73.8,58.1,
20190429,67.4,55.2,
20190430,72.2,54.6,
20190501,71.2,50.9,
20190502,72.1,52.5,
20190503,76.9,54.4,
20190504,75.0,57.4,
20190505,72.3,58.6,
20190506,71.7,54.2,
20190507,70.5,56.3,
20190508,65.5,58.6,
20190509,66.1,59.0,
20190510,70.0,57.2,
20190511,78.4,54.3,
20190512,77.7,56.8,
20190513,74.7,59.0,
20190514,75.4,58.6,
20190515,68.4,58.1,
20190516,68.7,55.3,
20190517,73.7,51.1,
20190518,74.9,52.4,
20190519,68.7,50.4,
20190520,73.8,50.7,
20190521,69.1,54.4,
20190522,68.9,52.6,
20190523,65.4,53.6,
20190524,72.7,49.5,
20190525,73.9,52.8,
20190526,62.6,52.0,
20190527,71.3,46.9,
20190528,74.5,50.9,
20190529,77.2,53.2,
20190530,76.5,55.7,
20190531,75.2,57.9,
20190601,66.5,59.2,
20190602,67.2,59.1,
20190603,74.6,58.7,
20190604,78.1,58.8,
20190605,79.5,61.6,
20190606,78.9,61.8,
20190607,77.3,61.3,
20190608,82.5,60.7,
20190609,86.3,59.3,
20190610,97.6,59.6,
20190611,87.8,61.7,
20190612,83.1,62.5,
20190613,79.4,59.8,
20190614,76.4,61.5,
20190615,80.9,61.4,
20190616,77.8,62.3,
20190617,74.4,61.4,
20190618,77.3,61.9,
20190619,81.2,63.0,
20190620,77.7,60.6,
20190621,70.3,60.1,
20190622,80.3,62.2,
20190623,80.1,59.7,
20190624,77.9,61.3,
20190625,69.9,62.9,
20190626,75.6,60.3,
20190627,79.5,59.0,
20190628,80.7,59.7,
20190629,88.7,57.2,
20190630,86.4,60.1,
20190701,84.2,59.6,
20190702,84.0,60.2,
20190703,80.8,62.5,
20190704,80.0,61.8,
20190705,82.4,59.0,
20190706,81.2,61.1,
20190707,80.3,63.8,
