date,high temp,low temp,solarRad
20190101,58.5,45.1,453.6
20190102,61.5,44.4,465.5
20190103,65.7,48.4,480.9
20190104,64.0,48.6,462.8
20190105,57.0,48.2,187.2
20190106,58.3,45.3,545.2
20190107,57.7,50.2,505.3
20190108,71.6,51.3,533.7
20190109,64.2,48.4,505.1
20190110,61.3,48.9,529.5
20190111,64.2,48.9,581.9
20190112,60.4,49.3,711.5
20190113,60.3,46.4,291.7
20190114,57.6,50.9,72.9
20190115,58.5,51.1,261.3
20190116,59.5,53.6,168.6
20190117,59.9,53.6,231.0
20190118,64.4,52.2,549.6
20190119,75.4,53.8,546.3
20190120,71.8,55.4,559.8
20190121,63.1,50.4,484.4
20190122,66.9,52.3,540.5
20190123,65.5,51.8,497.5
20190124,78.3,48.9,573.0
20190125,75.2,53.8,524.7
20190126,76.5,56.7,555.3
20190127,75.4,55.0,545.3
20190128,71.4,52.2,595.5
20190129,68.7,54.0,652.1
20190130,64.6,52.0,492.2
20190131,58.8,51.8,671.5
20190201,61.9,48.0,519.5
20190202,57.7,51.8,304.5
20190203,57.4,51.4,721.5
20190204,57.9,50.7,634.6
20190205,54.3,43.5,620.0
20190206,54.5,42.8,501.7
20190207,61.0,43.5,522.2
20190208,61.9,44.8,507.7
20190209,57.6,44.8,633.5
20190210,55.0,46.6,721.4
20190211,59.9,44.2,542.0
20190212,68.5,48.0,480.8
20190213,58.3,50.4,277.5
20190214,60.6,50.0,674.3
20190215,58.3,46.8,716.5
20190216,58.3,42.1,588.6
20190217,55.0,43.5,768.9
20190218,57.9,44.4,626.2
20190219,58.1,45.5,533.1
20190220,55.0,42.4,663.3
20190221,54.3,43.5,657.7
20190222,61.9,45.9,561.9
20190223,60.1,43.9,559.7
20190224,62.2,43.7,575.7
20190225,63.9,46.8,546.6
20190226,62.8,46.6,675.3
20190227,61.7,55.4,723.1
20190228,60.8,54.3,749.3
20190301,62.4,54.1,705.3
20190302,58.8,53.6,293.0
20190303,59.5,54.0,823.8
20190304,61.3,49.8,633.3
20190305,65.1,48.7,719.7
20190306,59.0,53.2,215.8
20190307,58.6,47.7,626.9
20190308,56.3,47.7,631.1
20190310,58.8,46.9,575.3
20190310,48.0,46.8,0.0
20190310,48.0,46.8,0.0
20190311,50.5,49.8,0.0
20190311,64.0,46.8,653.5
20190312,67.3,55.6,581.3
20190313,68.4,52.5,595.9
20190314,67.8,54.1,587.8
20190315,75.4,52.9,615.3
20190316,79.3,57.4,621.1
20190317,80.6,62.1,628.3
20190318,75.2,55.0,599.4
20190319,64.0,52.3,679.4
20190320,62.1,51.8,655.9
20190321,59.9,47.8,835.9
20190322,61.3,49.6,595.2
20190323,62.8,51.6,838.3
20190324,65.3,49.5,583.4
20190325,67.6,50.2,583.2
20190326,67.1,48.7,664.7
20190327,66.7,52.0,806.0
20190328,63.0,52.2,584.7
20190329,69.3,52.0,609.6
20190330,74.8,59.9,649.5
20190331,80.2,61.3,645.5
20190401,80.1,58.5,663.9
20190402,68.0,55.8,764.9
20190403,65.3,53.6,700.5
20190404,62.2,52.9,847.6
20190405,62.1,50.7,896.7
20190406,65.7,51.8,602.5
20190407,73.8,54.1,648.0
20190408,79.0,58.8,754.1
20190409,78.4,58.6,790.5
20190410,73.4,59.7,598.3
20190411,71.6,58.8,732.3
20190412,73.2,58.1,628.7
20190413,72.9,54.0,611.6
20190414,64.8,51.6,633.1
20190415,59.0,49.5,694.5
20190416,61.2,53.6,834.0
20190417,67.8,51.3,589.6
20190418,77.2,54.0,606.9
20190419,62.8,54.7,792.0
20190420,62.4,55.0,837.4
20190421,62.6,53.1,600.7
20190422,65.7,50.5,773.8
20190423,71.2,53.4,813.0
20190424,69.3,55.4,593.0
20190425,67.6,55.0,594.7
20190426,63.7,55.0,756.7
20190427,65.3,56.3,773.2
20190428,63.3,56.8,732.5
20190429,64.8,54.0,723.8
20190430,62.8,53.4,907.8
20190501,63.9,49.8,620.7
20190502,65.3,52.0,729.1
20190503,66.9,53.4,612.9
20190504,67.1,57.2,618.2
20190505,64.0,56.7,767.6
20190506,64.2,55.9,790.2
20190507,63.5,54.0,825.4
20190508,61.7,57.7,370.6
20190509,63.3,57.9,333.1
20190510,67.1,57.0,763.3
20190511,68.4,55.2,774.7
20190512,68.4,56.3,727.3
20190513,65.8,59.2,677.6
20190514,67.3,58.8,715.8
20190515,64.4,58.5,629.3
20190516,63.7,55.2,674.8
20190517,66.7,50.5,613.0
20190518,66.0,53.8,705.9
20190519,60.8,50.4,859.7
20190520,64.6,51.8,625.4
20190521,64.8,55.6,713.5
20190522,64.6,53.2,804.7
