date,high temp,low temp,solarRad
2019-01-01 23:59:51,57.2,37.2,420.1
2019-01-02 23:59:54,63.0,34.5,431.9
2019-01-03 23:59:41,67.6,34.7,448.9
2019-01-04 23:59:32,67.5,34.7,445.6
2019-01-05 23:59:32,55.8,41.5,147.5
2019-01-06 23:59:31,60.3,41.2,509.5
2019-01-07 23:59:34,57.2,48.0,222.7
2019-01-08 23:59:52,68.5,45.5,392.6
2019-01-09 23:59:38,69.1,42.6,428.2
2019-01-10 23:59:29,69.1,43.3,450.3
2019-01-11 23:59:43,63.5,45.0,491.7
2019-01-12 23:59:32,56.1,42.1,511.9
2019-01-13 23:59:30,59.7,40.1,319.6
2019-01-14 23:59:34,55.2,47.1,102.9
2019-01-15 23:59:52,56.8,47.8,295.6
2019-01-16 23:58:23,59.7,53.2,224.6
2019-01-17 23:59:28,62.6,54.3,154.5
2019-01-18 23:58:27,66.4,50.5,460.5
2019-01-19 23:59:26,77.0,46.4,492.4
2019-01-20 23:59:48,73.6,46.8,496.3
2019-01-21 23:59:26,61.9,41.9,461.1
2019-01-22 23:59:33,64.4,44.1,489.5
2019-01-23 23:59:20,70.5,38.5,494.7
2019-01-24 23:59:22,75.7,43.7,525.5
2019-01-25 23:59:35,77.2,41.9,521.0
2019-01-26 23:58:28,78.6,45.3,498.3
2019-01-27 23:59:31,78.1,46.9,537.5
2019-01-28 23:59:32,78.3,43.9,496.6
2019-01-29 23:58:34,73.4,50.0,501.9
2019-01-30 23:58:21,69.1,47.1,477.4
2019-01-31 23:59:38,56.8,45.7,416.8
2019-02-01 23:59:46,60.3,43.5,400.4
2019-02-02 23:59:57,56.3,48.9,518.1
2019-02-03 23:59:59,58.3,49.3,536.0
2019-02-04 23:59:46,57.6,47.8,511.2
2019-02-05 23:59:48,53.1,36.3,546.7
2019-02-06 23:59:51,55.9,32.2,476.2
2019-02-07 23:59:53,60.3,32.2,488.2
2019-02-08 23:59:56,61.5,32.5,497.2
2019-02-09 23:59:58,57.6,38.7,679.1
2019-02-10 23:59:45,53.1,40.5,519.4
2019-02-11 23:59:48,60.3,34.5,508.9
2019-02-12 23:59:50,66.6,34.2,446.1
2019-02-13 23:59:52,57.0,47.7,280.6
2019-02-14 23:59:54,61.3,48.4,517.3
2019-02-15 23:59:57,56.3,43.5,286.5
2019-02-16 23:59:58,61.2,36.7,576.7
2019-02-17 23:59:46,55.4,37.0,694.8
2019-02-18 23:59:48,59.0,32.0,562.1
2019-02-19 23:59:51,59.4,32.4,529.9
2019-02-20 23:59:53,56.1,33.1,619.0
2019-02-21 23:59:56,53.6,35.2,608.5
2019-02-22 23:59:59,61.3,32.5,546.7
2019-02-23 23:59:45,63.1,30.9,558.5
2019-02-24 23:59:48,71.1,35.4,570.4
2019-02-25 23:59:50,69.1,40.3,544.3
2019-02-26 23:59:53,67.5,40.1,596.2
2019-02-27 23:59:55,64.6,42.4,599.3
2019-02-28 23:59:56,67.6,53.4,623.0
2019-03-01 23:59:59,65.5,48.6,544.2
2019-03-02 23:59:45,64.4,52.9,686.4
2019-03-03 23:59:47,63.5,51.1,774.8
2019-03-04 23:59:49,64.6,45.7,608.0
2019-03-05 23:59:51,68.7,45.5,761.6
2019-03-06 23:59:53,59.5,51.8,664.6
2019-03-07 23:59:55,62.8,44.8,638.2
2019-03-08 23:59:57,59.7,42.3,625.5
2019-03-10 23:59:47,59.9,42.6,635.0
2019-03-10 01:59:59,43.7,42.4,0.0
2019-03-10 01:59:59,43.7,42.4,0.0
2019-03-11 02:04:51,46.6,45.3,0.0
2019-03-11 23:59:50,62.6,41.0,449.5
2019-03-12 23:59:52,73.0,49.8,607.4
2019-03-13 23:59:53,68.9,43.9,615.3
2019-03-14 23:59:57,72.1,42.4,616.9
2019-03-15 23:59:58,73.9,40.3,624.5
2019-03-16 23:59:44,81.0,42.4,644.4
2019-03-17 23:59:46,84.6,45.3,668.9
2019-03-18 23:59:49,82.8,46.9,666.2
2019-03-19 23:59:51,72.0,46.8,645.8
2019-03-20 23:59:54,64.9,49.6,808.3
2019-03-21 23:59:59,62.1,45.0,719.7
2019-03-22 23:59:49,68.5,41.4,697.3
2019-03-23 23:59:49,62.6,46.2,645.8
2019-03-24 23:59:49,73.2,42.4,625.7
2019-03-25 23:59:51,79.9,45.3,642.8
2019-03-26 23:59:51,77.7,43.7,695.0
2019-03-27 23:59:53,70.9,45.9,810.3
2019-03-28 23:59:55,70.7,48.7,775.7
2019-03-29 23:59:57,76.8,43.9,659.6
2019-03-30 23:59:59,82.4,43.9,671.6
2019-03-31 23:59:47,85.1,46.4,687.8
2019-04-01 23:59:49,84.2,51.3,690.3
2019-04-02 23:59:51,71.1,49.8,675.1
2019-04-03 23:59:54,68.4,49.8,718.9
2019-04-04 23:59:55,67.6,49.3,776.2
2019-04-05 23:59:58,65.8,46.9,753.4
2019-04-06 23:59:45,75.2,49.3,668.2
2019-04-07 23:59:46,92.1,50.5,720.6
2019-04-08 23:59:50,92.8,56.8,822.8
2019-04-09 23:59:50,79.2,55.0,700.2
2019-04-10 23:59:52,77.0,54.5,646.9
2019-04-11 23:59:54,77.9,50.2,713.5
2019-04-12 23:59:56,79.5,51.8,677.0
2019-04-13 23:59:58,81.5,46.2,679.2
2019-04-14 23:59:44,80.4,46.4,693.3
2019-04-15 23:59:47,71.8,45.1,671.1
2019-04-16 23:59:49,65.8,50.0,736.2
2019-04-17 23:59:51,83.3,45.3,690.9
2019-04-18 23:59:53,93.2,49.3,722.9
2019-04-19 23:59:56,87.4,52.2,873.7
2019-04-20 23:59:58,67.1,53.6,703.7
2019-04-21 23:59:44,71.2,50.0,781.9
2019-04-22 23:59:46,82.6,46.0,671.3
2019-04-23 23:59:49,93.9,52.2,704.1
2019-04-24 23:59:51,86.4,53.1,673.5
2019-04-25 23:59:54,88.2,52.2,685.0
2019-04-26 23:59:57,81.5,52.2,665.4
2019-04-27 23:59:58,72.7,54.7,707.9
2019-04-28 23:59:43,71.6,55.9,674.6
2019-04-29 23:59:46,68.0,53.4,817.6
2019-04-30 23:59:48,68.7,50.2,857.1
2019-05-01 23:59:51,72.3,45.1,651.5
2019-05-02 23:59:53,78.3,47.3,711.6
2019-05-03 23:59:56,82.0,48.2,658.4
2019-05-04 23:59:59,78.3,52.5,659.0
2019-05-05 23:59:44,72.0,53.8,756.5
2019-05-06 23:59:44,67.3,54.3,639.3
2019-05-07 23:59:48,64.6,50.7,567.8
2019-05-08 23:59:51,64.2,57.0,181.6
2019-05-09 23:59:40,64.2,56.1,233.4
2019-05-10 23:59:53,66.2,55.6,751.0
2019-05-11 23:59:50,81.0,52.5,732.3
2019-05-12 23:59:10,80.2,52.2,665.0
2019-05-13 23:58:21,76.6,56.8,644.3
2019-05-14 23:59:49,80.2,56.7,659.9
2019-05-15 23:59:51,68.7,56.5,592.8
2019-05-16 23:59:59,67.8,51.3,760.0
2019-05-17 23:57:48,73.6,45.9,712.5
2019-05-18 23:59:57,73.8,47.1,816.5
2019-05-19 23:59:46,64.9,48.4,818.0
2019-05-20 23:59:46,70.5,50.2,828.5
2019-05-21 23:59:54,69.4,51.8,889.7
2019-05-22 23:58:14,70.3,47.1,844.3
2019-05-23 23:59:38,63.5,48.2,778.1
